name,img_url,region,dday,applicants,지원금,모집상태,collected_at
"[유료] 곡성 ""기획에 중독된 건에 관하여"" 3박4일 워케이션 (러스틱타운, 선착순)",https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2760%2F1752720901125.jpg&w=3840&q=60,전남 곡성군,,15.0,* 본문 지원항목 참고,,2025-07-21 17:22:40
2025 경북 여름특집 청춘시 연애읍 솔로마을 매칭캠프 (울릉도 1기),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2685%2F1751963057136.jpg&w=3840&q=60,경북,,48.0,전액 지원,,2025-07-21 17:22:40
부산광역시 동구 소셜미디어 홍보단 7기 모집,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2722%2F1752767397568.jpg&w=3840&q=60,부산 동구,,6.0,원고료 지급,,2025-07-21 17:22:40
2025 밀양 4색 여름축제 페이백 페스타 (선착순),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2771%2F1752735320489.jpg&w=3840&q=60,경남 밀양시,,12.0,"체험료, 입장료, 숙박비, 식비, 페이백",,2025-07-21 17:22:40
캐나다 콘텐츠 원정대 : 최대 1000만원의 여행지원금과 인천-밴쿠버 왕복항공권의 기회!,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2718%2F1752241799715.jpg&w=3840&q=60,해외,,430.0,"￦10,000,000/지원",,2025-07-21 17:22:40
울산 울주군 행복울주를 담다 콘텐츠 공모전,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2738%2F1752555350133.jpg&w=3840&q=60,울산 울주군,,,"￦2,000,000/지원",,2025-07-21 17:22:40
2025 동대문문화재단 홍보 서포터즈 모집,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2789%2F1753007910768.png&w=3840&q=60,서울 동대문구,,4.0,활동비 지급,,2025-07-21 17:22:40
2025년 마주해요! '마음 영상 일기' 공모전,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2766%2F1752979119866.jpg&w=3840&q=60,전국,,1.0,"￦2,000,000/지원",,2025-07-21 17:22:40
2025년 글로벌 문화체험 캠프 참가자 모집,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2745%2F1752555218011.jpg&w=3840&q=60,해외,,,1인당 연수비용의 80% 지원,,2025-07-21 17:22:40
"2025 보성 일주일살기 - 지금 우리, 보성여행 (남도에서 한 달 여행하기)",https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2714%2F1752139397648.jpg&w=3840&q=60,전남 보성군,,231.0,"￦2,400,000/지원",,2025-07-21 17:22:40
"2025 가족소통캠프 & 디지털윤리 숲e랑캠프 8월 참가가족 모집 (예천, 청도, 나주)",https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2749%2F1752682818957.jpg&w=3840&q=60,전국,,161.0,전액 지원,,2025-07-21 17:22:40
제24회 국립공원 사진 공모전,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2564%2F1750696065983.jpg&w=3840&q=60,전국,,29.0,"￦10,000,000/지원",,2025-07-21 17:22:40
강원 태백·홍천 별빛이 내리는 요가 (선착순),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2785%2F1752936584901.jpg&w=3840&q=60,강원,,29.0,"지역상품권 5천원, 특별사은품 제공",,2025-07-21 17:22:40
2026 여수세계섬박람회 SNS 서포터즈 모집,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2716%2F1752565727699.jpg&w=3840&q=60,전남 여수시,,22.0,"월 20만원 원고료, 행사초대 지원",,2025-07-21 17:22:40
대전 청소년 사이언스 나이트 캠프 1~4차 (선착순),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2753%2F1752630827656.jpg&w=3840&q=60,대전,,21.0,* 본문 지원항목 참고,,2025-07-21 17:22:40
2025 농촌 스타마을 온라인 투표,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2732%2F1752329580343.jpg&w=3840&q=60,전국,,314.0,스타벅스 아메리카노 쿠폰,,2025-07-21 17:22:40
대구수목원 어린이 여름 자연학교 (선착순),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2786%2F1752935571246.png&w=3840&q=60,대구 달서구,,9.0,자연 프로그램 무료참여,,2025-07-21 17:22:40
2025 김포시 SNS 지원단 (모집기간 연장),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2676%2F1752933301872.jpg&w=3840&q=60,경기 김포시,,8.0,원고료 및 우수활동자 표창,,2025-07-21 17:22:40
"대구에서 살아보며 창업하는, 2025년 청년 귀환 채널구축 사업(고향올래) 대굴대굴 대구온나 (기술벤처창업 편)",https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2748%2F1752563485773.jpg&w=3840&q=60,대구,,7.0,* 본문 지원항목 참고,,2025-07-21 17:22:40
"5만원으로 기차여행하는 방법 : 철도여행X농촌투어패스 50% 할인 (안동, 영주, 문경, 김제, 익산)",https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2763%2F1752931449439.jpg&w=3840&q=60,전국,,60.0,"열차운임 50% 할인, 농촌관광 혜택",,2025-07-21 17:22:40
"연천, 포천 매력탐구여행을 위한 여행지원금 받기 (2025 댐잇 프로젝트 3기)",https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2772%2F1752738245201.jpg&w=3840&q=60,경기,,34.0,"￦500,000/지원",,2025-07-21 17:22:40
"연천, 포천 로컬여행기획공모전 (2025 댐잇 프로젝트 3기)",https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2773%2F1752928411138.jpg&w=3840&q=60,경기,,7.0,"￦2,000,000/지원",,2025-07-21 17:22:40
영월여행 코스짜고 여행지원금 15만원 받는 방법 - 영월관광택시 '내맘대로 코스' 공모전,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2776%2F1752767633364.jpg&w=3840&q=60,강원 영월군,,20.0,여행지원금 및 상금,,2025-07-21 17:22:40
2025년 제주 워케이션 참가자 모집 3차 (선착순),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2781%2F1752926939790.jpg&w=3840&q=60,제주,,,"￦300,000/지원",,2025-07-21 17:22:40
2025 섬과 연안 생태사진 공모전 (국립호남권생물자원관),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2612%2F1750938123741.jpg&w=3840&q=60,전국,,23.0,"￦1,000,000/지원",,2025-07-21 17:22:40
전국 한국관광 100선 여름맞이 스탬프투어 이벤트,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2604%2F1751594181352.jpg&w=3840&q=60,전국,,116.0,"애슐리 식사권, 주유권, 편의점 이용권",,2025-07-21 17:22:40
2025 완도 치유 페스타 섬 스탬프 투어 (추첨제),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2777%2F1752846712656.jpg&w=3840&q=60,전남 완도군,,3.0,"￦50,000/지원",,2025-07-21 17:22:40
군민친구와 함께하는 완도해양치유센터 반값여행,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2764%2F1752734768233.jpg&w=3840&q=60,전남 완도군,,,해양 치유 프로그램 가격 할인(30~50%),,2025-07-21 17:22:40
"전남 섬 해양관광 활성화를 위한 로컬 프로젝트, 청춘어람 육성사업 5기",https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2731%2F1752317212499.jpg&w=3840&q=60,전남,,1.0,* 본문 지원항목 참고,,2025-07-21 17:22:40
"제3기 대전 중구 소셜미디어 서포터즈 모집 (대전, 세종, 충청)",https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2663%2F1752025825885.jpg&w=3840&q=60,대전 중구,,17.0,원고료 4~5만원 지급 (건당),,2025-07-21 17:22:40
고창 여행경비지원 '고창한밤' 8월 여행자 모집 (선착순),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2780%2F1752807729214.jpg&w=3840&q=60,전북 고창군,,25.0,"￦100,000/지원",,2025-07-21 17:22:40
취하리 알베르게 : 영천에서 1박2일 진행되는 20대 연애 소셜링,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2725%2F1752237578749.jpg&w=3840&q=60,경북 영천시,,75.0,* 본문 지원항목 참고,,2025-07-21 17:22:40
"충북 증평여행 최대 86% 할인받는 방법, 증평투어패스",https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2754%2F1752771116899.jpg&w=3840&q=60,충북 증평군,,38.0,최대 86% 할인,,2025-07-21 17:22:40
일요일에 해남에서 밥먹자! 영수증 30% 리워드 받는 방법,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2767%2F1752669085831.jpg&w=3840&q=60,전남 해남군,,5.0,해남미소포인트 or 해남사랑상품권,,2025-07-21 17:22:40
2025 금천 숏폼 영상 공모전,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2758%2F1752735169359.jpg&w=3840&q=60,서울 금천구,,,"￦1,500,000/지원",,2025-07-21 17:22:40
Go! 군산 섬해진미 백패킹 1박2일 미식투어,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2774%2F1752756071153.png&w=3840&q=60,전북 군산시,,45.0,* 본문 지원항목 참고,,2025-07-21 17:22:40
영덕 워킹데이 1편 - 농촌생활 참가자 모집,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2680%2F1751630512419.jpg&w=3840&q=60,경북 영덕군,,102.0,"￦1,000,000/지원",,2025-07-21 17:22:40
일본 7박 8일 국제크루즈 체험단 모집 (추첨제),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2770%2F1752718444886.jpg&w=3840&q=60,해외,,279.0,크루즈 체험 기회,,2025-07-21 17:22:40
제7회 국가어항 디지털 사진 공모전,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2755%2F1752731067367.jpg&w=3840&q=60,전국,,13.0,"￦1,000,000/지원",,2025-07-21 17:22:40
하동 미션투어로 반하고 최대 10만원 돌려받기! (반하는 여행 시즌1),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2757%2F1752737326282.jpg&w=3840&q=60,경남 하동군,,26.0,"￦100,000/지원",,2025-07-21 17:22:40
상주 2박 3일 살아보기 (이안느루@상주 탐색캠프 4기 - 조기 모집종료),https://www.monthler.kr/images/icon_early_end.png,경북 상주시,,21.0,참가비 외 전액지원,,2025-07-21 17:22:40
"[유료] 곡성 ""마침표가 아니라 쉽표입니다만,"" 3박4일 워케이션 (러스틱타운, 선착순 - 조기 모집종료)",https://www.monthler.kr/images/icon_early_end.png,전남 곡성군,,15.0,* 본문 지원항목 참고,,2025-07-21 17:22:40
완도 섬 풍류학교 : 고산 윤선도의 낙원 보길도에서 즐기는 여름방학 (선착순 - 조기 모집종료),https://www.monthler.kr/images/icon_early_end.png,전남 완도군,,21.0,전액 지원,,2025-07-21 17:22:40
숙박비는 재능으로 받겠습니다 게스트하우스 참가자 모집 (보성 청년마을),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2768%2F1752716526424.jpg&w=3840&q=60,전남 보성군,,4.0,"숙박비 무료, 식비 지원",,2025-07-21 17:22:40
"국립조선왕조실록박물관 청소년 5박6일 국제교류 <세계유산으로 맺은 우정, 미래를 꽃피우다>",https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2661%2F1752026169149.jpg&w=3840&q=60,전국,,30.0,* 본문 지원항목 참고,,2025-07-21 17:22:40
2025 경기청년 3박4일 실학캠프 (선착순),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2756%2F1752683294467.jpg&w=3840&q=60,전국,,19.0,전액 지원,,2025-07-21 17:22:40
2025 여름방학은 인제에서! 청촌맛공감 2박3일 청소년 특집,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2762%2F1752660467926.jpg&w=3840&q=60,강원 인제군,,4.0,* 본문 지원항목 참고,,2025-07-21 17:22:40
안녕! 자연의 창녕에서 한 달 여행하기 2차 참가자 모집 (경남 한달살기),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2751%2F1752631643835.jpg&w=3840&q=60,경남 함양군,,112.0,"￦2,270,000/지원",,2025-07-21 17:22:40
"고창 성송별밤캠프, 별이 빛나는 성송에서 1박2일",https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2735%2F1752389984645.jpg&w=3840&q=60,전북 고창군,,15.0,* 본문 지원항목 참고,,2025-07-21 17:22:40
